Condition,Price,Propulsion,No. Engines,Year,Make,Model,Flight Rules,National Origin,Country,Continent
Used,369500.0,Piston Engine,1.0,2008.0,Cirrus,Sr22-G3,IFR,United States,United States,North America
Project,10000.0,Piston Engine,1.0,1941.0,Piper Aircraft,J-3C,VFR,United States,United States,North America
Used,159000.0,Piston Engine,1.0,1991.0,Glasair Aviation,Glasair Iii,IFR,United States,United States,North America
Used,230000.0,Piston Engine,2.0,1975.0,Cessna,421B,IFR,United States,United States,North America
Used,65000.0,Piston Engine,1.0,2000.0,Van'S Aircraft,Rv-6/6A,No information,United States,United States,North America
Used,82300.0,Piston Engine,1.0,1968.0,Cessna,182 Skylane,IFR,United States,United States,North America
Used,85000.0,Piston Engine,1.0,2008.0,Remos,Gx,No information,Germany,United States,North America
Used,150000.0,Piston Engine,2.0,1977.0,Piper Aircraft,Seneca Ii,IFR,United States,United States,North America
Used,39900.0,Piston Engine,1.0,1967.0,Beechcraft,A23-19 Musketeer Sport Iii,No information,United States,United States,North America
Used,125000.0,Piston Engine,1.0,2005.0,Robinson Helicopter,R22 Beta Ii,VFR,United States,United States,North America
Used,39500.0,Piston Engine,1.0,1959.0,Cessna,150,IFR,United States,United States,North America
Used,59000.0,Piston Engine,1.0,1973.0,Piper Aircraft,Cherokee 140,VFR,United States,United States,North America
Used,79000.0,Piston Engine,1.0,1985.0,Maule Air,M-6-235,IFR,United States,United States,North America
Used,94000.0,Piston Engine,1.0,1964.0,Beechcraft,S35 Bonanza,IFR,United States,United States,North America
Used,365000.0,Turboshaft,1.0,1971.0,Bell Textron,206B Ii,VFR,United States,United States,North America
Used,49000.0,Piston Engine,1.0,1953.0,Beechcraft,35 Bonanza,IFR,United States,United States,North America
No information,550000.0,Turboprop,2.0,1977.0,Beechcraft,King Air B100,No information,United States,South Africa,Africa
Used,50000.0,Piston Engine,1.0,1992.0,Lancair,235,VFR,United States,Kenya,Africa
Used,35000.0,Piston Engine,1.0,1966.0,Piper Aircraft,Cherokee 140,IFR,United States,United States,North America
Used,58500.0,Piston Engine,1.0,1960.0,Piper Aircraft,Comanche 250,IFR,United States,United States,North America
Used,102500.0,Piston Engine,1.0,1966.0,Cessna,T210,IFR,United States,United States,North America
Used,79500.0,Piston Engine,2.0,1987.0,Piper Aircraft,Twin Comanche,IFR,United States,United States,North America
Used,29900.0,Piston Engine,1.0,1976.0,Cessna,150M,VFR,United States,United States,North America
Used,165000.0,Piston Engine,2.0,1980.0,Beechcraft,60 Duke,No information,United States,United States,North America
Used,105000.0,Piston Engine,1.0,2014.0,Van'S Aircraft,Rv-7/7A,IFR,United States,United States,North America
Used,120000.0,Piston Engine,1.0,1968.0,Cessna,210H,No information,United States,United States,North America
Used,190000.0,Piston Engine,1.0,1972.0,Beechcraft,A36 Bonanza 36,IFR,United States,United States,North America
Used,27500.0,Piston Engine,1.0,1946.0,Aeronca,7 Champion Ac,VFR,United States,United States,North America
Used,64999.0,Piston Engine,1.0,1969.0,Cessna,150K,VFR,United States,United States,North America
Used,169000.0,Piston Engine,1.0,1969.0,Cessna,P206D,VFR,United States,United States,North America
Used,21900.0,Piston Engine,1.0,1946.0,Aeronca,11Ac Chief,No information,United States,United States,North America
Used,79900.0,Piston Engine,1.0,1962.0,Cessna,182 Texas Skyway Conversion,No information,United States,United States,North America
Used,29500.0,Piston Engine,1.0,1946.0,Ercoupe,415-C,No information,United States,United States,North America
Used,239500.0,Piston Engine,1.0,1980.0,Cessna,T210N,IFR,United States,United Kingdom,Europe
Used,79500.0,Piston Engine,1.0,1981.0,Mooney International Corp,M20K 231,IFR,United States,United States,North America
Used,159000.0,Piston Engine,1.0,2019.0,Flight Design,Ctlsi,VFR,Germany,United States,North America
Used,55000.0,Piston Engine,1.0,1999.0,Rotorway International,Exec 162F,No information,United States,United States,North America
No information,125000.0,Piston Engine,2.0,1978.0,Cessna,340A,IFR,United States,Germany,Europe
No information,3400000.0,Turbofan,2.0,2001.0,Dassault Aviation,50Ex,No information,France,France,Europe
No information,3800000.0,Turbofan,2.0,2007.0,Cessna,Citation Cj3,No information,United States,Pakistan,Asia
Used,150000.0,Piston Engine,1.0,1998.0,Aviat,Pitts S2-C,VFR,United States,Canada,North America
Used,124900.0,Piston Engine,1.0,1942.0,Vultee Aircraft,Bt-13A,No information,United States,United States,North America
No information,650000.0,Turboshaft,1.0,2001.0,Airbus Helicopters,As 350Ba,No information,France,Canada,North America
Used,159900.0,Piston Engine,1.0,2004.0,Aviat,Husky A-1B,No information,United States,Canada,North America
Used,130000.0,Piston Engine,1.0,1977.0,Cessna,U206G,No information,United States,Canada,North America
Used,189000.0,Piston Engine,1.0,1988.0,Lake,La 270 T-Renegade,IFR,United States,Canada,North America
No information,399000.0,Piston Engine,1.0,2006.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,Canada,North America
Used,155000.0,Piston Engine,1.0,1998.0,Aviat,Husky A-1A,VFR,United States,Canada,North America
Used,185000.0,Piston Engine,2.0,1975.0,Piper Aircraft,Navajo Chieftain,IFR,United States,Canada,North America
No information,4495000.0,Turboshaft,1.0,2013.0,Cessna,Aw109Sp Grand New,No information,Italy,Canada,North America
No information,1795000.0,Turbofan,2.0,2010.0,Embraer,Phenom 100,IFR,Brazil,United States,North America
Used,325000.0,Piston Engine,2.0,1945.0,Grumman,G44A Super Widgeon,No information,United States,Canada,North America
Used,85500.0,Piston Engine,1.0,1947.0,Piper Aircraft,Pa-11 Cub Special,VFR,United States,Canada,North America
Used,2695000.0,Turboprop,2.0,2011.0,Beechcraft,King Air 350I,IFR,United States,Canada,North America
Used,299000.0,Piston Engine,1.0,2012.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,Canada,North America
Used,140000.0,Piston Engine,1.0,1979.0,Mooney International Corp,M20K 231,IFR,United States,Canada,North America
Used,195000.0,Piston Engine,2.0,1963.0,Beechcraft,H18,No information,United States,Canada,North America
Used,1325000.0,Turboprop,2.0,1993.0,Beechcraft,King Air C90B,IFR,United States,Canada,North America
Used,145000.0,Piston Engine,1.0,1966.0,Cessna,185E,VFR,United States,Canada,North America
Used,54900.0,Piston Engine,1.0,1967.0,Piper Aircraft,Cherokee 235,IFR,United States,Canada,North America
Used,164900.0,Piston Engine,1.0,1977.0,Cessna,172K Skyhawk,IFR,United States,United States,North America
Used,379000.0,Piston Engine,2.0,1981.0,Cessna,414A,IFR,United States,Canada,North America
Used,40000.0,Piston Engine,1.0,1959.0,Piper Aircraft,Comanche 180,No information,United States,Canada,North America
Used,1950000.0,Turboprop,1.0,2013.0,Cessna,Caravan 208,IFR,United States,Canada,North America
Used,130000.0,Piston Engine,1.0,2009.0,Glasair Aviation,Sportsman,VFR,United States,Canada,North America
Used,26500.0,Piston Engine,1.0,1973.0,Lake,La 4/200,No information,United States,United States,North America
No information,1325000.0,Turboshaft,1.0,1987.0,Airbus Helicopters,Bk 117 B-2,No information,Germany,Canada,North America
No information,1375000.0,Turboshaft,1.0,1987.0,Airbus Helicopters,Bk 117 B-2,No information,Germany,Canada,North America
Used,85000.0,Piston Engine,1.0,1987.0,Lake,La 250 Renegade,IFR,United States,Canada,North America
Used,179000.0,Piston Engine,2.0,1978.0,Beechcraft,B60 Duke,IFR,United States,Canada,North America
No information,358000.0,Piston Engine,1.0,2016.0,Robinson Helicopter,R44,No information,United States,Canada,North America
Used,60000.0,Piston Engine,1.0,1977.0,Beechcraft,C24R Sierra,IFR,United States,Canada,North America
Used,69000.0,Piston Engine,1.0,1975.0,Lake,La 4/200,No information,United States,United States,North America
Used,221900.0,Piston Engine,1.0,2001.0,Cessna,T182 Skylane,No information,United States,Canada,North America
No information,185000.0,Turboprop,2.0,1987.0,British Aerospace,J31,No information,United Kingdom,Canada,North America
Used,975000.0,Turboprop,1.0,2008.0,Piper Aircraft,Meridian M500,No information,United States,Canada,North America
Used,1500000.0,Turboprop,1.0,2007.0,Cessna,Caravan 208,IFR,United States,Canada,North America
Used,60000.0,Piston Engine,1.0,1977.0,Cessna,172 Hawk Xp-R172,IFR,United States,Canada,North America
No information,2495000.0,Turbofan,2.0,2004.0,Bombardier Learjet,45Xr,No information,Canada,Canada,North America
No information,489000.0,Piston Engine,1.0,2018.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,Canada,North America
No information,335900.0,Piston Engine,1.0,2011.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,Canada,North America
Used,1250000.0,Turbofan,2.0,1997.0,Cessna,Citation V Ultra,No information,United States,Canada,North America
Used,169000.0,Piston Engine,1.0,1981.0,Cessna,U206G,No information,United States,Canada,North America
No information,650000.0,Turboshaft,1.0,1979.0,Airbus Helicopters,As 350Ba,No information,France,Canada,North America
Used,222900.0,Piston Engine,1.0,2003.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,Canada,North America
Used,235000.0,Piston Engine,1.0,1990.0,Beechcraft,F33A Bonanza,IFR,United States,Canada,North America
Used,115000.0,Piston Engine,2.0,1974.0,Piper Aircraft,Seneca,IFR,United States,Canada,North America
Used,105000.0,Piston Engine,2.0,1978.0,Cessna,310R,IFR,United States,Canada,North America
Used,99000.0,Piston Engine,1.0,1976.0,Grumman,Aa5A Cheetah,IFR,United States,United States,North America
No information,230000.0,Piston Engine,1.0,2012.0,Robinson Helicopter,R44,No information,United States,Canada,North America
Used,1849000.0,Turbofan,2.0,2010.0,Embraer,Phenom 100,IFR,Brazil,Canada,North America
Used,234000.0,Piston Engine,2.0,1981.0,Cessna,340A,IFR,United States,Canada,North America
No information,115000.0,Piston Engine,2.0,1970.0,Piper Aircraft,Navajo,IFR,United States,Canada,North America
Used,235000.0,Piston Engine,1.0,2001.0,Socata,Tb-21 Gt Trinidad,IFR,France,Canada,North America
No information,220000.0,Piston Engine,1.0,2004.0,Murphy Aircraft,Moose,No information,Canada,Germany,Europe
No information,249000.0,Piston Engine,2.0,1974.0,Cessna,414,IFR,United States,Canada,North America
Used,175000.0,Piston Engine,1.0,1973.0,Cessna,182 Skylane,IFR,United States,Canada,North America
Used,98900.0,Piston Engine,1.0,1979.0,Cessna,Tr182Rg Skylane,IFR,United States,Canada,North America
No information,347000.0,Piston Engine,1.0,2011.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,Canada,North America
No information,245000.0,Turboprop,2.0,1988.0,British Aerospace,J31,No information,United Kingdom,Canada,North America
No information,115000.0,Piston Engine,1.0,1974.0,Cessna,210,No information,United States,Canada,North America
Used,167500.0,Piston Engine,1.0,2003.0,Cessna,300,IFR,United States,Canada,North America
No information,280000.0,Piston Engine,1.0,1982.0,Cessna,P210N,IFR,United States,Canada,North America
Used,107000.0,Piston Engine,1.0,1977.0,Cessna,172N Skyhawk,IFR,United States,Canada,North America
No information,199000.0,Piston Engine,2.0,1981.0,Cessna,414,IFR,United States,Canada,North America
Used,139900.0,Piston Engine,1.0,1977.0,Cessna,A185F,No information,United States,Canada,North America
Used,70000.0,Piston Engine,1.0,1978.0,Cessna,182Rg Skylane,IFR,United States,Canada,North America
Used,115000.0,Piston Engine,1.0,1979.0,Cessna,172 Hawk Xp-R172,IFR,United States,Canada,North America
No information,1395000.0,Turboshaft,1.0,2018.0,Bell Textron,505 Jetranger,No information,United States,Chile,South America
No information,3495000.0,Turboshaft,1.0,2019.0,Leonardo,Aw119Kx,No information,Italy,Chile,South America
Used,995000.0,Piston Engine,2.0,1937.0,Lockheed Corporation,12A,IFR,United States,Canada,North America
Used,117500.0,Piston Engine,1.0,1953.0,Cessna,L19 305A Bird Dog,VFR,United States,Canada,North America
No information,1990000.0,Turboshaft,1.0,2002.0,Airbus Helicopters,Ec 135P2,No information,Germany,Spain,Europe
Used,85000.0,Piston Engine,2.0,1961.0,Beechcraft,55 Baron,IFR,United States,Uruguay,South America
Project,7000.0,Piston Engine,1.0,1956.0,Cessna,172,VFR,United States,United States,North America
No information,649000.0,Turboprop,2.0,1989.0,Piper Aircraft,Jetprop,No information,United States,Austria,Europe
No information,1950000.0,Turboprop,2.0,2001.0,Beechcraft,King Air 350,No information,United States,Germany,Europe
No information,190000.0,Piston Engine,1.0,1941.0,Boeing,Stearman,No information,United States,Germany,Europe
No information,99000.0,Piston Engine,1.0,1987.0,Socata,Tb-21 Trinidad,No information,France,Germany,Europe
Used,120000.0,Piston Engine,1.0,1952.0,Polikarpov,Po-2,No information,Soviet Union,Germany,Europe
No information,145000.0,Piston Engine,1.0,1982.0,Cessna,P210N,IFR,United States,Germany,Europe
No information,205000.0,Piston Engine,1.0,1980.0,Cessna,P210N,IFR,United States,Germany,Europe
No information,3750000.0,Turboprop,2.0,2014.0,Pilatus,Pc-12 Ng,No information,Switzerland,Germany,Europe
No information,4300000.0,Turboprop,2.0,2017.0,Pilatus,Pc-12/47,No information,Switzerland,Germany,Europe
No information,375000.0,Piston Engine,1.0,1953.0,Yakovlev,Yak 11,No information,Soviet Union,Germany,Europe
Used,4500000.0,Piston Engine,1.0,1944.0,Messerschmitt,Bf-109G-14,No information,Germany,Germany,Europe
No information,1270000.0,Turboprop,2.0,2011.0,Piper Aircraft,Meridian,No information,United States,Germany,Europe
Used,1950000.0,Piston Engine,1.0,1945.0,Supermarine,Spitfire Mkxviii,No information,United Kingdom,Germany,Europe
Used,3995000.0,Piston Engine,1.0,1944.0,North American Aviation,Tf51D,IFR,United States,United States,North America
No information,400000.0,Piston Engine,2.0,2010.0,Partenavia,P68,No information,Italy,Germany,Europe
No information,100000.0,Piston Engine,2.0,1981.0,Piper Aircraft,Seminole,IFR,United States,Germany,Europe
No information,950000.0,Turboshaft,1.0,1994.0,Airbus Helicopters,As 350B-2,No information,France,Germany,Europe
No information,270000.0,Turboshaft,1.0,1987.0,Agusta,A109A Ii,No information,Italy,Germany,Europe
No information,2950000.0,Turboshaft,1.0,1987.0,Sikorsky Aircraft,S-76C++,No information,United States,Canada,North America
No information,1350000.0,Turboshaft,1.0,2018.0,Bell Textron,505 Jetranger,No information,United States,Germany,Europe
No information,1200000.0,Turbofan,2.0,2002.0,Cessna,Citation Cj1,No information,United States,Germany,Europe
No information,1250000.0,Turbofan,2.0,2008.0,Cessna,Citation Mustang,IFR,United States,Germany,Europe
No information,700000.0,Turboprop,2.0,1987.0,Beechcraft,King Air 200,IFR,United States,Germany,Europe
No information,390000.0,Turboshaft,1.0,1974.0,Mcdonnell Douglas Helicopter Systems,500C,No information,United States,United Kingdom,Europe
Used,109000.0,Piston Engine,1.0,1954.0,Bucker,Bu-131 Jungmann,No information,Germany,Spain,Europe
No information,700000.0,Turboshaft,1.0,2003.0,Airbus Helicopters,Ec 120B,No information,France,France,Europe
Used,1600000.0,Piston Engine,1.0,1949.0,Hawker,Sea Fury Fb.Mk 11,No information,United Kingdom,France,Europe
Used,1200000.0,Piston Engine,1.0,1949.0,Hawker,Sea Fury Fb.Mk 11,No information,United Kingdom,France,Europe
Used,2250000.0,Piston Engine,1.0,1940.0,Hawker,Hurricane,No information,United Kingdom,France,Europe
Used,69000.0,Piston Engine,1.0,1974.0,Cessna,172,VFR,United States,France,Europe
No information,695000.0,Turboprop,2.0,1974.0,Beechcraft,King Air 200,IFR,United States,Monaco,Europe
No information,495000.0,Turboshaft,1.0,1987.0,Airbus Helicopters,As 365N-1,No information,France,France,Europe
No information,420000.0,Turboshaft,1.0,1977.0,Bell Textron,206L,No information,United States,France,Europe
No information,6950000.0,Turbofan,2.0,2000.0,Cessna,900Ex,No information,France,Congo,Africa
No information,1395000.0,Turboprop,2.0,2013.0,Piper Aircraft,Meridian,No information,United States,United Kingdom,Europe
No information,44000.0,Piston Engine,1.0,1961.0,Cessna,172,VFR,United States,United Kingdom,Europe
No information,31000.0,Piston Engine,1.0,1987.0,Piper Aircraft,Cherokee 180,IFR,United States,United Kingdom,Europe
No information,22850.0,Piston Engine,1.0,1968.0,Avions Pierre Robin,Dr 360,No information,France,United Kingdom,Europe
No information,24950.0,Piston Engine,1.0,1972.0,Cessna,150,VFR,United States,United Kingdom,Europe
No information,96000.0,Piston Engine,1.0,2011.0,Bonsall Dc,Mustang Replica Mkii,No information,United Kingdom,United Kingdom,Europe
No information,395000.0,Turboshaft,1.0,1976.0,Bell Textron,206B Ii,VFR,United States,United Kingdom,Europe
No information,89995.0,Piston Engine,1.0,1976.0,Rockwell,114,No information,United States,United Kingdom,Europe
No information,450000.0,Turboshaft,1.0,1990.0,Airbus Helicopters,As 355F-2,No information,France,United Kingdom,Europe
No information,55000.0,Piston Engine,1.0,1977.0,Cessna,152,VFR,United States,United Kingdom,Europe
No information,58500.0,Piston Engine,1.0,1987.0,Piper Aircraft,Warrior Ii,VFR,United States,United Kingdom,Europe
No information,350000.0,Turboshaft,1.0,1986.0,Bell Textron,206B Iii,No information,United States,United Kingdom,Europe
No information,130000.0,Turboshaft,1.0,1968.0,Bell Textron,206B Ii,VFR,United States,United Kingdom,Europe
No information,65000.0,Turboshaft,1.0,1965.0,Westland Helicopters,Wasp,No information,United Kingdom,United Kingdom,Europe
No information,2295000.0,Turbofan,2.0,2002.0,Cessna,Citation Excel,No information,United States,United Kingdom,Europe
No information,48500.0,Piston Engine,1.0,1989.0,Slingsby Aviation,Firefly,No information,United Kingdom,United Kingdom,Europe
No information,390000.0,Piston Engine,1.0,2007.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United Kingdom,Europe
No information,87995.0,Piston Engine,1.0,1975.0,Rockwell,112,No information,United States,United Kingdom,Europe
No information,815000.0,Turboprop,2.0,2002.0,Piper Aircraft,Jetprop,No information,United States,United Kingdom,Europe
Used,575000.0,Turboshaft,2.0,1982.0,Airbus Helicopters,Sa 332B,No information,France,Chile,South America
No information,199950.0,Piston Engine,1.0,1996.0,Piper Aircraft,Saratoga,IFR,United States,United Kingdom,Europe
No information,330000.0,Turboshaft,1.0,1995.0,Agusta,A109C,No information,Italy,Italy,Europe
No information,310000.0,Turboshaft,1.0,1974.0,Hughes Helicopters,369,No information,United States,United Kingdom,Europe
No information,1347000.0,Turboshaft,1.0,2006.0,Agusta,A109E Power,No information,Italy,United Kingdom,Europe
No information,3750000.0,Turboprop,2.0,2017.0,Beechcraft,King Air 250,No information,United States,United Kingdom,Europe
No information,272000.0,Piston Engine,1.0,2015.0,Guimbal,Cabri G2,IFR,France,United Kingdom,Europe
No information,1000000.0,Turboshaft,1.0,2019.0,Bell Textron,505 Jetranger,No information,United States,United Kingdom,Europe
No information,215000.0,Piston Engine,1.0,2004.0,Piper Aircraft,6X,No information,United States,United Kingdom,Europe
No information,550000.0,Turboshaft,1.0,1980.0,Bell Textron,206L 1,No information,United States,United Kingdom,Europe
No information,385000.0,Turboshaft,1.0,1987.0,Agusta,A109A Ii,No information,Italy,United Kingdom,Europe
No information,1250000.0,Turboshaft,1.0,2001.0,Agusta,Aw109E Power,No information,Italy,United Kingdom,Europe
No information,1150000.0,Turboshaft,1.0,2000.0,Agusta,Aw109E Power,No information,Italy,United Kingdom,Europe
No information,1895000.0,Turboshaft,1.0,2007.0,Agusta,Aw109S Grand,No information,Italy,United Kingdom,Europe
No information,50000.0,Piston Engine,1.0,1993.0,Pzl,104 Wilga,No information,Poland,United Kingdom,Europe
No information,1495000.0,Turbofan,2.0,2001.0,Bombardier Learjet,45,No information,Canada,United Kingdom,Europe
No information,490000.0,Turboshaft,1.0,1981.0,Bell Textron,206L 1,No information,United States,United Kingdom,Europe
No information,4900000.0,Turboshaft,1.0,2016.0,Cessna,Aw109Sp,No information,Italy,United Kingdom,Europe
No information,310000.0,Piston Engine,1.0,2008.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United Kingdom,Europe
No information,269000.0,Piston Engine,1.0,1998.0,Piper Aircraft,Saratoga,IFR,United States,United Kingdom,Europe
No information,599995.0,Turboshaft,1.0,1999.0,Airbus Helicopters,As 355N,No information,France,United Kingdom,Europe
No information,270000.0,Piston Engine,1.0,2015.0,Guimbal,Cabri G2,IFR,France,United Kingdom,Europe
No information,425000.0,Turboshaft,1.0,1981.0,Bell Textron,206B Iii,No information,United States,United Kingdom,Europe
No information,180000.0,Turboshaft,1.0,1968.0,Bell Textron,206B Ii,VFR,United States,United Kingdom,Europe
No information,215000.0,Piston Engine,1.0,2003.0,Piper Aircraft,Saratoga,IFR,United States,United Kingdom,Europe
No information,68595.0,Piston Engine,1.0,1987.0,Maule Air,Mx-7-180,No information,United States,United Kingdom,Europe
No information,850000.0,Turboshaft,1.0,1996.0,Airbus Helicopters,As 350B-2,No information,France,United Kingdom,Europe
No information,34500.0,Piston Engine,1.0,1973.0,Stolp Aircraft,Sa300,No information,United States,United Kingdom,Europe
No information,215000.0,Piston Engine,1.0,2017.0,Tecnam,P2010,No information,Italy,United Kingdom,Europe
No information,300000.0,Turboshaft,1.0,1980.0,Bell Textron,206B Iii,No information,United States,United Kingdom,Europe
Used,94900.0,Piston Engine,1.0,1965.0,Piper Aircraft,Comanche 400,No information,United States,Canada,North America
No information,280000.0,Piston Engine,1.0,2019.0,Schleicher,Asg 32 Mi,No information,Germany,Switzerland,Europe
No information,110000.0,Piston Engine,1.0,1966.0,Cessna,210,No information,United States,Switzerland,Europe
No information,312000.0,Piston Engine,1.0,2004.0,Mooney International Corp,M20M,No information,United States,Switzerland,Europe
No information,130000.0,Piston Engine,1.0,1966.0,Beechcraft,V35 Bonanza,No information,United States,Switzerland,Europe
No information,245000.0,Piston Engine,1.0,1982.0,Siai Marchetti,Sf260,IFR,Italy,Switzerland,Europe
Used,180000.0,Piston Engine,1.0,1950.0,Pilatus,P2-06,No information,Switzerland,Switzerland,Europe
No information,150000.0,Piston Engine,1.0,1940.0,Boeing,Stearman,No information,United States,Switzerland,Europe
Used,670000.0,Turboprop,1.0,1943.0,Schlepp,C-3605,No information,Switzerland,Switzerland,Europe
No information,2100000.0,Piston Engine,1.0,2016.0,Junkers,F13,No information,Germany,Switzerland,Europe
No information,65000.0,Piston Engine,1.0,1969.0,Zlin Aviation,526,No information,Czech Republic,Switzerland,Europe
New,158000.0,Piston Engine,1.0,2017.0,Safari Helicopters,400,VFR,Canada,Switzerland,Europe
No information,1500000.0,Turboshaft,1.0,1996.0,Airbus Helicopters,Ec 135,No information,Germany,Switzerland,Europe
No information,390000.0,Turboshaft,1.0,2014.0,Robinson Helicopter,R66,VFR,United States,Switzerland,Europe
No information,11400000.0,Turbofan,2.0,2016.0,Embraer,Legacy 500,No information,Brazil,United States,North America
Used,185000.0,Piston Engine,1.0,1952.0,Fiat,G46,No information,Italy,United States,North America
Used,225000.0,Piston Engine,1.0,1947.0,Fiat,G46,No information,Italy,Italy,Europe
Used,1050000.0,Piston Engine,1.0,1950.0,Fiat,G59,VFR,Italy,Italy,Europe
No information,22000.0,Piston Engine,1.0,1965.0,Beechcraft,33 Debonair,No information,United States,Italy,Europe
No information,625000.0,Turboshaft,1.0,2002.0,Airbus Helicopters,Ec 120,No information,France,North Ireland,Europe
Used,799000.0,Turboshaft,1.0,2017.0,Robinson Helicopter,R66,VFR,United States,United States,North America
Used,240000.0,Piston Engine,1.0,2004.0,Robinson Helicopter,R44 Clipper Ii,IFR,United States,United States,North America
Used,110000.0,Piston Engine,1.0,2004.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,199000.0,Piston Engine,1.0,2004.0,Robinson Helicopter,R44 Clipper Ii,IFR,United States,United States,North America
Used,249000.0,Piston Engine,1.0,2004.0,Robinson Helicopter,R44 Clipper,No information,United States,United States,North America
Used,390000.0,Piston Engine,1.0,2009.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,415000.0,Piston Engine,1.0,2006.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,378000.0,Piston Engine,1.0,2006.0,Robinson Helicopter,R44 Clipper Ii,IFR,United States,United States,North America
Used,389000.0,Piston Engine,1.0,2006.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,425000.0,Piston Engine,1.0,2011.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,523000.0,Piston Engine,1.0,2020.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,465000.0,Piston Engine,1.0,2020.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,486000.0,Piston Engine,1.0,2020.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,600000.0,Turboshaft,1.0,2013.0,Robinson Helicopter,R66,VFR,United States,United States,North America
Used,759000.0,Turboshaft,1.0,2013.0,Robinson Helicopter,R66,VFR,United States,United States,North America
