Price,Currency,Year,Condition,Total Hours,Total Seats,Flight Rules,Category,Propulsion,No. Engines,Make,Model,State,Country,Continent,National Origin,Eng. 1 Hours,Maint. Eng. 1,Eng. 2 Hours,Maint. Eng. 2,Prop. 1 Hours,Maint. Prop. 1,Prop. 2 Hours,Maint. Prop. 2,text
102500.0,USD,1966.0,Used,5170.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,T210,AZ,United States,North America,United States,400.0,SFRM,0.0,N/A,,,0.0,N/A,$
79500.0,USD,1987.0,Used,4735.0,4.0,IFR,Airplane,Piston Engine,2.0,Piper Aircraft,Twin Comanche,NC,United States,North America,United States,593.0,,1762.0,,406.0,,406.0,,$
29900.0,USD,1976.0,Used,9906.0,2.0,VFR,Airplane,Piston Engine,1.0,Cessna,150M,WI,United States,North America,United States,,,0.0,N/A,,,0.0,N/A,$
165000.0,USD,1980.0,Used,4788.0,7.0,No information,Airplane,Piston Engine,2.0,Beechcraft,60 Duke,OR,United States,North America,United States,1336.0,,681.0,,1103.0,,1103.0,,$
105000.0,USD,2014.0,Used,250.0,2.0,IFR,Airplane,Piston Engine,1.0,Van'S Aircraft,Rv-7/7A,IL,United States,North America,United States,910.0,,0.0,N/A,,,0.0,N/A,$
120000.0,USD,1968.0,Used,4020.0,4.0,No information,Airplane,Piston Engine,1.0,Cessna,210H,CA,United States,North America,United States,15.0,SFRM,0.0,N/A,,,0.0,N/A,$
190000.0,USD,1972.0,Used,7039.0,6.0,IFR,Airplane,Piston Engine,1.0,Beechcraft,A36 Bonanza 36,CA,United States,North America,United States,892.0,SNEW,0.0,N/A,,SMOH,0.0,N/A,$
27500.0,USD,1946.0,Used,5400.0,2.0,VFR,Airplane,Piston Engine,1.0,Aeronca,7 Champion Ac,MA,United States,North America,United States,350.0,,0.0,N/A,,,0.0,N/A,$
64999.0,USD,1969.0,Used,4435.0,2.0,VFR,Airplane,Piston Engine,1.0,Cessna,150K,FL,United States,North America,United States,737.0,SMOH,0.0,N/A,,SMOH,0.0,N/A,$
169000.0,USD,1969.0,Used,6428.0,6.0,VFR,Airplane,Piston Engine,1.0,Cessna,P206D,MT,United States,North America,United States,400.0,SFRM,0.0,N/A,,SPOH,0.0,N/A,$
21900.0,USD,1946.0,Used,2440.0,2.0,No information,Airplane,Piston Engine,1.0,Aeronca,11Ac Chief,TN,United States,North America,United States,390.0,SMOH,0.0,N/A,,,0.0,N/A,$
79900.0,USD,1962.0,Used,5334.0,4.0,No information,Airplane,Piston Engine,1.0,Cessna,182 Texas Skyway Conversion,IL,United States,North America,United States,1554.0,SFRM,0.0,N/A,,SNEW,0.0,N/A,$
29500.0,USD,1946.0,Used,1807.0,2.0,No information,Airplane,Piston Engine,1.0,Ercoupe,415-C,LA,United States,North America,United States,519.0,SFRM,0.0,N/A,,,0.0,N/A,$
239500.0,USD,1980.0,Used,5895.0,6.0,IFR,Airplane,Piston Engine,1.0,Cessna,T210N,N/A,United Kingdom,Europe,United States,115.0,SNEW,0.0,N/A,,SOH,0.0,N/A,$
79500.0,USD,1981.0,Used,2187.0,4.0,IFR,Airplane,Piston Engine,1.0,Mooney International Corp,M20K 231,FL,United States,North America,United States,130.0,SMOH,0.0,N/A,,SNEW,0.0,N/A,$
159000.0,USD,2019.0,Used,59.0,2.0,VFR,Airplane,Piston Engine,1.0,Flight Design,Ctlsi,AZ,United States,North America,Germany,59.0,,0.0,N/A,,,0.0,N/A,$
55000.0,USD,1999.0,Used,403.0,2.0,No information,Rotorcraft,Piston Engine,1.0,Rotorway International,Exec 162F,FL,United States,North America,United States,403.0,SNEW,0.0,N/A,,,0.0,N/A,$
125000.0,EUR,1978.0,No information,3405.0,6.0,IFR,Airplane,Piston Engine,2.0,Cessna,340A,N/A,Germany,Europe,United States,,,,,,,,,Price: â‚¬
3400000.0,USD,2001.0,No information,3939.3759715731367,4.0,No information,Airplane,Turbofan,2.0,Dassault Aviation,50Ex,N/A,France,Europe,France,,,,,0.0,N/A,0.0,N/A,Price: USD $
3800000.0,USD,2007.0,No information,3416.0,4.0,No information,Airplane,Turbofan,2.0,Cessna,Citation Cj3,N/A,Pakistan,Asia,United States,,,,,0.0,N/A,0.0,N/A,Price: USD $
150000.0,USD,1998.0,Used,1084.0,2.0,VFR,Airplane,Piston Engine,1.0,Aviat,Pitts S2-C,N/A,Canada,North America,United States,38.0,SOH,0.0,N/A,,SOH,0.0,N/A,$
124900.0,USD,1942.0,Used,3939.3759715731367,4.0,No information,Airplane,Piston Engine,1.0,Vultee Aircraft,Bt-13A,CA,United States,North America,United States,,,0.0,N/A,,,0.0,N/A,$
650000.0,USD,2001.0,No information,10600.0,4.0,No information,Rotorcraft,Turboshaft,1.0,Airbus Helicopters,As 350Ba,N/A,Canada,North America,France,,,0.0,N/A,,,0.0,N/A,Price: USD $
159900.0,USD,2004.0,Used,705.0,4.0,No information,Airplane,Piston Engine,1.0,Aviat,Husky A-1B,N/A,Canada,North America,United States,705.0,SNEW,0.0,N/A,,SPOH,0.0,N/A,$
130000.0,USD,1977.0,Used,3009.0,6.0,No information,Airplane,Piston Engine,1.0,Cessna,U206G,N/A,Canada,North America,United States,1198.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
189000.0,USD,1988.0,Used,2300.0,4.0,IFR,Airplane,Piston Engine,1.0,Lake,La 270 T-Renegade,N/A,Canada,North America,United States,125.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
399000.0,USD,2006.0,No information,2200.0,4.0,VFR,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44 Raven Ii,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,Price: USD $
155000.0,USD,1998.0,Used,957.0,2.0,VFR,Airplane,Piston Engine,1.0,Aviat,Husky A-1A,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,$
185000.0,USD,1975.0,Used,10372.0,8.0,IFR,Airplane,Piston Engine,2.0,Piper Aircraft,Navajo Chieftain,N/A,Canada,North America,United States,96.0,SMOH,0.0,N/A,570.0,SPOH,570.0,SPOH,$
4495000.0,USD,2013.0,No information,720.0,4.0,No information,Rotorcraft,Turboshaft,1.0,Cessna,Aw109Sp Grand New,N/A,Canada,North America,Italy,,,0.0,N/A,,,0.0,N/A,Price: USD $
1795000.0,USD,2010.0,No information,3290.0,6.0,IFR,Airplane,Turbofan,2.0,Embraer,Phenom 100,TX,United States,North America,Brazil,,,,,0.0,N/A,0.0,N/A,Price: USD $
325000.0,USD,1945.0,Used,5117.0,4.0,No information,Airplane,Piston Engine,2.0,Grumman,G44A Super Widgeon,N/A,Canada,North America,United States,349.0,SMOH,349.0,SMOH,54.0,SPOH,54.0,SPOH,$
85500.0,USD,1947.0,Used,3387.0,2.0,VFR,Airplane,Piston Engine,1.0,Piper Aircraft,Pa-11 Cub Special,N/A,Canada,North America,United States,14.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
2695000.0,USD,2011.0,Used,2859.0,8.0,IFR,Airplane,Turboprop,2.0,Beechcraft,King Air 350I,N/A,Canada,North America,United States,2859.0,SNEW,,,,SNEW,,,$
299000.0,USD,2012.0,Used,632.0,4.0,VFR,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44 Raven Ii,N/A,Canada,North America,United States,632.0,,0.0,N/A,,SNEW,0.0,N/A,$
140000.0,USD,1979.0,Used,3651.0,4.0,IFR,Airplane,Piston Engine,1.0,Mooney International Corp,M20K 231,N/A,Canada,North America,United States,572.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
195000.0,USD,1963.0,Used,4759.0,4.0,No information,Airplane,Piston Engine,2.0,Beechcraft,H18,N/A,Canada,North America,United States,659.0,SMOH,959.0,SMOH,59.0,SPOH,59.0,SPOH,$
1325000.0,USD,1993.0,Used,2577.0,7.0,IFR,Airplane,Turboprop,2.0,Beechcraft,King Air C90B,N/A,Canada,North America,United States,2577.0,SNEW,,,,SPOH,,,$
145000.0,USD,1966.0,Used,3184.0,4.0,VFR,Airplane,Piston Engine,1.0,Cessna,185E,N/A,Canada,North America,United States,881.0,SMOH,0.0,N/A,,,0.0,N/A,$
54900.0,USD,1967.0,Used,2325.0,4.0,IFR,Airplane,Piston Engine,1.0,Piper Aircraft,Cherokee 235,N/A,Canada,North America,United States,858.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
164900.0,USD,1977.0,Used,4482.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,172K Skyhawk,MT,United States,North America,United States,1090.0,SNEW,0.0,N/A,211.0,SNEW,0.0,N/A,$
379000.0,USD,1981.0,Used,6230.0,7.0,IFR,Airplane,Piston Engine,2.0,Cessna,414A,N/A,Canada,North America,United States,,,,,,,,,$
40000.0,USD,1959.0,Used,3088.0,4.0,No information,Airplane,Piston Engine,1.0,Piper Aircraft,Comanche 180,N/A,Canada,North America,United States,708.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
1950000.0,USD,2013.0,Used,405.0,8.0,IFR,Airplane,Turboprop,1.0,Cessna,Caravan 208,N/A,Canada,North America,United States,405.0,,0.0,N/A,,,0.0,N/A,$
130000.0,USD,2009.0,Used,258.0,2.0,VFR,Airplane,Piston Engine,1.0,Glasair Aviation,Sportsman,N/A,Canada,North America,United States,294.0,SNEW,0.0,N/A,,SNEW,0.0,N/A,$
26500.0,USD,1973.0,Used,3150.0,4.0,No information,Airplane,Piston Engine,1.0,Lake,La 4/200,CA,United States,North America,United States,560.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
1325000.0,USD,1987.0,No information,9838.6,4.0,No information,Rotorcraft,Turboshaft,1.0,Airbus Helicopters,Bk 117 B-2,N/A,Canada,North America,Germany,,,0.0,N/A,,,0.0,N/A,Price: USD $
1375000.0,USD,1987.0,No information,11257.0,4.0,No information,Rotorcraft,Turboshaft,1.0,Airbus Helicopters,Bk 117 B-2,N/A,Canada,North America,Germany,,,0.0,N/A,,,0.0,N/A,Price: USD $
85000.0,USD,1987.0,Used,1818.0,6.0,IFR,Airplane,Piston Engine,1.0,Lake,La 250 Renegade,N/A,Canada,North America,United States,1818.0,SNEW,0.0,N/A,,SMOH,0.0,N/A,$
179000.0,USD,1978.0,Used,3939.3759715731367,6.0,IFR,Airplane,Piston Engine,2.0,Beechcraft,B60 Duke,N/A,Canada,North America,United States,,,,,,,,,$
358000.0,USD,2016.0,No information,220.0,4.0,No information,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,Price: USD $
60000.0,USD,1977.0,Used,5284.0,6.0,IFR,Airplane,Piston Engine,1.0,Beechcraft,C24R Sierra,N/A,Canada,North America,United States,1673.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
69000.0,USD,1975.0,Used,1800.0,4.0,No information,Airplane,Piston Engine,1.0,Lake,La 4/200,VT,United States,North America,United States,1300.0,SMOH,0.0,N/A,,,0.0,N/A,$
221900.0,USD,2001.0,Used,1247.0,4.0,No information,Airplane,Piston Engine,1.0,Cessna,T182 Skylane,N/A,Canada,North America,United States,1247.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
185000.0,USD,1987.0,No information,24787.0,4.0,No information,Airplane,Turboprop,2.0,British Aerospace,J31,N/A,Canada,North America,United Kingdom,,,,,,,,,Price: USD $
975000.0,USD,2008.0,Used,1590.0,6.0,No information,Airplane,Turboprop,1.0,Piper Aircraft,Meridian M500,N/A,Canada,North America,United States,1590.0,SNEW,0.0,N/A,,SPOH,0.0,N/A,$
1500000.0,USD,2007.0,Used,1533.0,8.0,IFR,Airplane,Turboprop,1.0,Cessna,Caravan 208,N/A,Canada,North America,United States,1533.0,SHSI,0.0,N/A,,SPOH,0.0,N/A,$
60000.0,USD,1977.0,Used,11194.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,172 Hawk Xp-R172,N/A,Canada,North America,United States,1409.0,SFRM,0.0,N/A,,SOH,0.0,N/A,$
2495000.0,USD,2004.0,No information,4232.0,4.0,No information,Airplane,Turbofan,2.0,Bombardier Learjet,45Xr,N/A,Canada,North America,Canada,,,,,0.0,N/A,0.0,N/A,Price: USD $
489000.0,USD,2018.0,No information,100.0,4.0,VFR,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44 Raven Ii,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,Price: USD $
335900.0,USD,2011.0,No information,659.0,4.0,VFR,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44 Raven Ii,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,Price: USD $
1250000.0,USD,1997.0,Used,12690.0,9.0,No information,Airplane,Turbofan,2.0,Cessna,Citation V Ultra,N/A,Canada,North America,United States,1537.0,SMOH,1368.0,SMOH,0.0,N/A,0.0,N/A,$
169000.0,USD,1981.0,Used,2432.0,6.0,No information,Airplane,Piston Engine,1.0,Cessna,U206G,N/A,Canada,North America,United States,1050.0,SMOH,0.0,N/A,,SMOH,0.0,N/A,$
650000.0,USD,1979.0,No information,6000.0,4.0,No information,Rotorcraft,Turboshaft,1.0,Airbus Helicopters,As 350Ba,N/A,Canada,North America,France,,,0.0,N/A,,,0.0,N/A,Price: USD $
222900.0,USD,2003.0,Used,3991.0,4.0,VFR,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44 Raven Ii,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,$
235000.0,USD,1990.0,Used,1942.0,4.0,IFR,Airplane,Piston Engine,1.0,Beechcraft,F33A Bonanza,N/A,Canada,North America,United States,744.0,SNEW,0.0,N/A,,SPOH,0.0,N/A,$
115000.0,USD,1974.0,Used,15069.0,6.0,IFR,Airplane,Piston Engine,2.0,Piper Aircraft,Seneca,N/A,Canada,North America,United States,1520.0,SOH,1047.0,SOH,1047.0,SNEW,1047.0,SNEW,$
105000.0,USD,1978.0,Used,9098.0,6.0,IFR,Airplane,Piston Engine,2.0,Cessna,310R,N/A,Canada,North America,United States,81.0,STOH,486.0,STOH,400.0,SOH,400.0,SOH,$
99000.0,USD,1976.0,Used,215.0,4.0,IFR,Airplane,Piston Engine,1.0,Grumman,Aa5A Cheetah,FL,United States,North America,United States,215.0,,0.0,N/A,,,0.0,N/A,$
230000.0,USD,2012.0,No information,900.0,4.0,No information,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,Price: USD $
1849000.0,USD,2010.0,Used,3700.0,6.0,IFR,Airplane,Turbofan,2.0,Embraer,Phenom 100,N/A,Canada,North America,Brazil,3666.0,SNEW,3687.0,SNEW,0.0,N/A,0.0,N/A,$
234000.0,USD,1981.0,Used,4510.0,6.0,IFR,Airplane,Piston Engine,2.0,Cessna,340A,N/A,Canada,North America,United States,975.0,SMOH,995.0,SMOH,172.0,SPOH,172.0,SPOH,$
115000.0,USD,1970.0,No information,8079.4,8.0,IFR,Airplane,Piston Engine,2.0,Piper Aircraft,Navajo,N/A,Canada,North America,United States,,,,,,,,,Price: USD $
235000.0,USD,2001.0,Used,214.0,4.0,IFR,Airplane,Piston Engine,1.0,Socata,Tb-21 Gt Trinidad,N/A,Canada,North America,France,214.0,,0.0,N/A,,,0.0,N/A,$
220000.0,EUR,2004.0,No information,414.0,4.0,No information,Ultralight,Piston Engine,1.0,Murphy Aircraft,Moose,N/A,Germany,Europe,Canada,,,0.0,N/A,,,0.0,N/A,Price: â‚¬
249000.0,USD,1974.0,No information,2621.3,7.0,IFR,Airplane,Piston Engine,2.0,Cessna,414,N/A,Canada,North America,United States,,,,,,,,,Price: USD $
175000.0,USD,1973.0,Used,3227.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,182 Skylane,N/A,Canada,North America,United States,647.0,SMOH,0.0,N/A,,SNEW,0.0,N/A,$
98900.0,USD,1979.0,Used,4587.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,Tr182Rg Skylane,N/A,Canada,North America,United States,1307.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
347000.0,USD,2011.0,No information,800.0,4.0,VFR,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44 Raven Ii,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,Price: USD $
245000.0,USD,1988.0,No information,24053.0,4.0,No information,Airplane,Turboprop,2.0,British Aerospace,J31,N/A,Canada,North America,United Kingdom,,,,,,,,,Price: USD $
115000.0,USD,1974.0,No information,2095.0,6.0,No information,Airplane,Piston Engine,1.0,Cessna,210,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,Price: USD $
167500.0,USD,2003.0,Used,1980.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,300,N/A,Canada,North America,United States,57.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
280000.0,USD,1982.0,No information,3765.0,6.0,IFR,Airplane,Piston Engine,1.0,Cessna,P210N,N/A,Canada,North America,United States,,,0.0,N/A,,,0.0,N/A,Price: USD $
107000.0,USD,1977.0,Used,6136.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,172N Skyhawk,N/A,Canada,North America,United States,1065.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
199000.0,USD,1981.0,No information,5080.0,7.0,IFR,Airplane,Piston Engine,2.0,Cessna,414,N/A,Canada,North America,United States,,,,,,,,,Price: USD $
